Table 4-51:  Air Pollution Trends in Selected Metropolitan Statistical Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number of days with AQI values greater than 100 at monitoring sites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sites in 2010,Sites in 2020,Number of days with AQI > 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA",(R) 43,72,78,20,19,17,13,1,6,6,17,2,9,14,12,9,10,9,14,15,14,22,9,17,3,17,3,17,8,7,2,16,(R) 10,3,14
"Providence-Warwick, RI-MA",27,30,134,145,99,86,79,59,54,41,47,41,35,39,31,49,46,28,23,29,25,32,15,6,20,16,20,13,3,11,6,7,13,2,4
"Raleigh, NC",(R) 13,11,98,50,57,32,18,65,59,58,58,83,93,75,68,67,64,32,23,46,24,37,22,3,11,24,9,0,0,3,3,0,0,0,1
"Richmond, VA",10,8,104,75,122,110,46,101,75,56,57,76,80,63,40,53,65,42,34,54,34,50,34,3,25,22,19,1,2,3,4,1,2,0,0
"Riverside-San Bernardino-Ontario, CA",52,57,245,230,251,251,224,222,204,205,192,187,169,204,205,220,203,186,190,178,164,203,169,167,162,174,182,158,175,(R) 169,161,175,173,145,176
"Rochester, NY",2,3,212,101,96,104,86,67,97,75,64,81,89,52,7,28,30,20,5,13,7,13,8,2,7,1,12,0,1,0,2,3,4,0,0
"Sacramento-Arden-Arcade-Roseville, CA",(R) 28,31,110,121,124,136,123,64,104,83,96,60,82,139,105,116,145,114,112,92,121,97,89,69,42,78,79,50,57,(R) 40,(R) 59,(R) 56,(R) 57,(R) 20,50
"St. Louis, MO-IL",(R) 88,95,308,274,285,281,263,236,266,258,261,221,213,237,162,158,160,129,124,169,165,123,123,100,103,88,110,45,21,16,19,12,19,10,11
"Salt Lake City, UT",14,20,228,125,197,157,143,135,137,45,50,17,45,36,52,55,67,41,55,62,54,64,36,39,24,30,17,50,23,27,28,48,43,17,21
"San Antonio, TX",12,14,34,15,17,20,10,12,20,47,12,21,27,35,23,18,37,33,23,27,32,8,14,8,11,22,16,17,6,14,6,6,11,6,10
"San Diego-Carlsbad, CA",(R) 18,24,210,190,191,156,151,129,131,130,93,74,88,104,97,91,75,79,55,55,71,61,74,49,25,34,36,37,39,41,42,62,35,25,49
"San Francisco-Oakland-Hayward, CA",47,53,57,39,21,25,18,18,12,24,27,9,24,40,29,33,42,27,26,21,29,15,22,17,14,12,7,9,10,14,15,16,19,(R) 9,23
"San Jose-Sunnyvale-Santa Clara, CA",15,20,56,59,48,52,38,39,29,36,54,19,35,48,50,39,51,35,31,24,33,27,36,14,13,7,12,12,9,7,6,12,18,4,22
"San Juan-Carolina-Caguas, PR",(R) 35,34,45,0,58,128,91,50,94,13,4,4,11,11,34,23,19,4,0,2,0,1,3,2,2,0,0,10,1,3,27,7,14,19,19
"Scranton-Wilkes-Barre-Hazleton, PA",5,6,72,39,30,47,13,37,34,38,34,28,33,36,15,37,39,15,11,26,10,16,12,2,9,5,4,2,0,3,4,0,1,0,0
"Seattle-Tacoma-Bellevue, WA",(R) 41,50,150,83,33,28,37,12,15,22,22,16,16,18,28,27,24,41,22,25,29,26,10,24,3,13,12,8,7,18,3,24,16,2,14
